,Edad,Trabajo,Estado civil,Educacion,Default,Prestamo vivienda,Prestamo personal,Contacto,Mes,Dia de la semana,Cantidad de contactos,Dias,Anterior,Resultado anterior,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
91,40,Obrero,casado,basica.9y,no,no,no,telefono,may,thu,2,999,0,inexistente,1.1,93.994,-36.4,4.855,5191,no
92,52,Jubilado,casado,basica.4y,desconocido,si,no,celular,jul,fri,1,999,0,inexistente,1.4,93.918,-42.7,4.957,5228.1,no
93,24,Obrero,casado,curso profesional,no,no,no,celular,jul,tue,10,999,0,inexistente,1.4,93.918,-42.7,4.961,5228.1,no
94,39,unemployed,soltero,universitario,no,si,no,celular,dec,mon,1,6,2,exitosa,-3,92.713,-33,0.706,5023.5,si
95,32,Tecnico,casado,universitario,desconocido,si,no,celular,aug,tue,1,999,0,inexistente,1.4,93.444,-36.1,4.963,5228.1,no
96,59,Jubilado,casado,universitario,no,si,no,celular,aug,tue,10,999,0,inexistente,1.4,93.444,-36.1,4.965,5228.1,no
97,58,Tecnico,casado,curso profesional,no,si,si,telefono,jun,tue,1,999,0,inexistente,1.4,94.465,-41.8,4.864,5228.1,no
98,49,unemployed,casado,curso profesional,no,si,si,celular,nov,thu,2,999,1,fallida,-3.4,92.649,-30.1,0.714,5017.5,no
99,35,Tecnico,casado,universitario,no,no,no,celular,nov,thu,4,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
100,41,Tecnico,soltero,universitario,no,no,no,telefono,jun,tue,1,999,0,inexistente,-2.9,92.963,-40.8,1.262,5076.2,si
101,32,Administrativo,casado,universitario,no,si,si,celular,aug,tue,12,999,0,inexistente,1.4,93.444,-36.1,4.965,5228.1,no
102,50,Obrero,casado,basica.4y,no,si,no,celular,aug,tue,1,999,0,inexistente,1.4,93.444,-36.1,4.963,5228.1,no
103,53,Tecnico,divorciado,curso profesional,no,no,no,telefono,may,tue,1,999,0,inexistente,1.1,93.994,-36.4,4.856,5191,no
104,26,Obrero,casado,basica.9y,no,no,no,telefono,may,tue,1,999,0,inexistente,1.1,93.994,-36.4,4.856,5191,no
105,39,Obrero,casado,basica.4y,desconocido,si,no,telefono,may,wed,1,999,0,inexistente,1.1,93.994,-36.4,4.858,5191,no
106,37,Tecnico,soltero,curso profesional,no,no,no,celular,aug,thu,1,999,0,inexistente,1.4,93.444,-36.1,4.963,5228.1,no
107,29,Administrativo,soltero,secundario,no,no,no,celular,jul,tue,2,3,3,exitosa,-1.7,94.215,-40.3,0.835,4991.6,si
108,28,Servicios,soltero,secundario,no,no,no,celular,may,wed,2,999,0,inexistente,-1.8,92.893,-46.2,1.281,5099.1,si
109,42,Obrero,casado,basica.4y,desconocido,desconocido,desconocido,telefono,may,wed,1,999,0,inexistente,1.1,93.994,-36.4,4.859,5191,no
110,60,desconocido,casado,universitario,no,si,no,telefono,jun,mon,1,999,0,inexistente,1.4,94.465,-41.8,4.961,5228.1,no
111,36,Gerente,casado,universitario,no,si,no,celular,nov,wed,2,999,0,inexistente,-0.1,93.2,-42,4.12,5195.8,no
112,29,Administrativo,soltero,universitario,no,si,no,celular,nov,thu,1,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
113,46,Obrero,casado,basica.9y,no,si,no,telefono,may,mon,5,999,0,inexistente,1.1,93.994,-36.4,4.858,5191,no
114,53,Administrativo,soltero,basica.6y,no,si,no,telefono,jun,mon,1,999,0,inexistente,1.4,94.465,-41.8,4.961,5228.1,no
115,39,Obrero,casado,basica.4y,no,si,no,telefono,may,fri,4,999,0,inexistente,1.1,93.994,-36.4,4.864,5191,no
116,25,estudiante,casado,universitario,no,si,si,telefono,apr,thu,7,999,0,inexistente,-1.8,93.075,-47.1,1.41,5099.1,no
117,46,desconocido,soltero,desconocido,desconocido,si,no,celular,dec,mon,1,6,1,exitosa,-3,92.713,-33,0.706,5023.5,no
118,51,Administrativo,casado,basica.6y,no,si,no,celular,nov,tue,1,999,0,inexistente,-0.1,93.2,-42,4.153,5195.8,no
119,56,Tecnico,casado,secundario,no,si,no,telefono,may,wed,14,999,0,inexistente,1.1,93.994,-36.4,4.858,5191,no
120,33,Tecnico,casado,universitario,no,si,no,celular,jul,thu,1,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
121,29,Servicios,casado,desconocido,no,si,no,telefono,may,fri,3,999,0,inexistente,1.1,93.994,-36.4,4.864,5191,no
122,52,Obrero,casado,desconocido,desconocido,no,no,telefono,jun,mon,3,999,0,inexistente,1.4,94.465,-41.8,4.96,5228.1,no
123,32,Empresario,soltero,curso profesional,no,si,no,telefono,aug,fri,1,999,0,inexistente,-1.7,94.027,-38.3,0.905,4991.6,no
124,34,Administrativo,casado,secundario,desconocido,no,no,celular,jul,wed,2,999,0,inexistente,1.4,93.918,-42.7,4.957,5228.1,no
125,51,Tecnico,casado,curso profesional,no,si,no,celular,nov,thu,1,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
126,37,Tecnico,soltero,curso profesional,no,si,no,celular,nov,mon,1,999,0,inexistente,-0.1,93.2,-42,4.191,5195.8,no
127,36,Servicios,casado,universitario,no,si,no,celular,nov,wed,3,999,0,inexistente,-0.1,93.2,-42,4.12,5195.8,no
128,56,Obrero,casado,basica.4y,no,si,no,celular,mar,fri,1,999,0,inexistente,-1.8,92.843,-50,1.531,5099.1,si
129,28,Obrero,soltero,basica.9y,no,si,no,celular,apr,fri,2,999,0,inexistente,-1.8,93.075,-47.1,1.4,5099.1,no
130,33,Administrativo,casado,secundario,no,no,no,celular,nov,thu,4,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
131,74,Jubilado,casado,secundario,no,si,no,celular,aug,thu,1,999,1,fallida,-2.9,92.201,-31.4,0.883,5076.2,si
132,49,Ama de casa,casado,basica.4y,no,no,no,telefono,may,fri,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
133,52,Jubilado,divorciado,curso profesional,no,no,no,celular,jul,tue,2,999,0,inexistente,1.4,93.918,-42.7,4.961,5228.1,no
134,50,Servicios,soltero,secundario,desconocido,no,no,telefono,may,tue,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
135,37,Obrero,casado,basica.9y,no,si,no,telefono,may,mon,1,999,0,inexistente,1.1,93.994,-36.4,4.858,5191,no
136,58,Gerente,casado,universitario,no,no,no,telefono,jul,tue,1,999,0,inexistente,1.4,93.918,-42.7,4.955,5228.1,no
137,40,Administrativo,soltero,universitario,no,si,no,celular,aug,mon,3,999,0,inexistente,1.4,93.444,-36.1,4.965,5228.1,no
138,24,Servicios,soltero,secundario,no,si,no,celular,apr,tue,1,999,1,fallida,-1.8,93.075,-47.1,1.423,5099.1,si
139,27,Servicios,soltero,curso profesional,no,si,si,telefono,may,tue,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
140,31,Administrativo,casado,secundario,no,si,no,celular,jul,thu,1,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
141,50,Administrativo,casado,basica.9y,no,si,no,celular,aug,thu,1,999,0,inexistente,1.4,93.444,-36.1,4.968,5228.1,no
142,38,Servicios,divorciado,secundario,desconocido,no,no,celular,apr,tue,1,999,1,fallida,-1.8,93.075,-47.1,1.453,5099.1,no
143,24,Servicios,soltero,secundario,no,si,no,celular,apr,tue,1,999,0,inexistente,-1.8,93.075,-47.1,1.423,5099.1,no
144,30,Administrativo,soltero,universitario,no,si,no,celular,jun,thu,1,3,2,exitosa,-2.9,92.963,-40.8,1.26,5076.2,no
145,39,Gerente,casado,universitario,no,si,no,telefono,jun,fri,1,999,0,inexistente,1.4,94.465,-41.8,4.967,5228.1,no
146,83,Jubilado,divorciado,basica.4y,no,no,no,celular,sep,thu,1,9,3,exitosa,-1.1,94.199,-37.5,0.879,4963.6,si
147,39,Administrativo,casado,universitario,no,si,no,celular,jul,mon,4,999,0,inexistente,1.4,93.918,-42.7,4.96,5228.1,no
148,37,Obrero,divorciado,basica.9y,no,si,si,telefono,jun,mon,2,999,0,inexistente,1.4,94.465,-41.8,4.961,5228.1,no
149,36,Ama de casa,casado,basica.4y,no,si,si,celular,jul,mon,6,999,0,inexistente,1.4,93.918,-42.7,4.962,5228.1,no
150,31,Obrero,casado,basica.9y,no,si,no,celular,nov,thu,1,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
151,48,Administrativo,casado,basica.6y,no,si,no,telefono,mar,mon,2,999,0,inexistente,-1.8,92.843,-50,1.811,5099.1,si
152,26,Obrero,casado,basica.9y,no,si,no,celular,may,tue,1,999,0,inexistente,-1.8,92.893,-46.2,1.291,5099.1,no
153,37,Autonomo,casado,basica.9y,no,si,si,celular,jul,thu,1,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
154,52,Obrero,casado,basica.4y,no,si,no,celular,aug,tue,2,999,0,inexistente,1.4,93.444,-36.1,4.965,5228.1,no
155,31,unemployed,casado,curso profesional,no,desconocido,desconocido,celular,may,tue,1,999,0,inexistente,-1.8,92.893,-46.2,1.291,5099.1,no
156,37,Administrativo,soltero,universitario,no,si,no,celular,jul,wed,2,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
157,41,Autonomo,casado,secundario,desconocido,no,no,telefono,may,fri,4,999,0,inexistente,1.1,93.994,-36.4,4.859,5191,no
158,35,Gerente,casado,universitario,no,no,no,celular,aug,tue,1,999,0,inexistente,1.4,93.444,-36.1,4.966,5228.1,no
159,41,Tecnico,soltero,universitario,no,si,no,celular,aug,thu,1,999,0,inexistente,1.4,93.444,-36.1,4.964,5228.1,no
160,61,Obrero,casado,curso profesional,no,si,no,celular,oct,thu,2,999,0,inexistente,-1.1,94.601,-49.5,0.987,4963.6,si
161,31,Obrero,soltero,secundario,no,si,no,telefono,jun,mon,2,999,0,inexistente,1.4,94.465,-41.8,4.96,5228.1,si
162,52,Administrativo,casado,universitario,no,si,si,celular,may,wed,1,999,0,inexistente,-1.8,92.893,-46.2,1.27,5099.1,no
163,77,Jubilado,divorciado,desconocido,no,no,no,celular,oct,thu,2,999,0,inexistente,-3.4,92.431,-26.9,0.741,5017.5,no
164,25,Servicios,soltero,secundario,no,si,no,celular,jul,tue,1,999,0,inexistente,1.4,93.918,-42.7,4.961,5228.1,no
165,30,Tecnico,soltero,universitario,no,no,no,celular,aug,fri,1,999,0,inexistente,1.4,93.444,-36.1,4.964,5228.1,no
166,57,Ama de casa,casado,basica.4y,no,no,no,celular,nov,fri,1,999,0,inexistente,-0.1,93.2,-42,4.021,5195.8,no
167,62,Jubilado,casado,desconocido,no,no,no,celular,aug,fri,4,999,0,inexistente,-2.9,92.201,-31.4,0.869,5076.2,si
168,43,Ama de casa,casado,basica.4y,no,si,no,celular,jul,wed,1,999,0,inexistente,1.4,93.918,-42.7,4.962,5228.1,no
169,36,Obrero,casado,desconocido,desconocido,si,no,telefono,may,fri,4,999,0,inexistente,1.1,93.994,-36.4,4.864,5191,no
170,36,Gerente,casado,universitario,desconocido,no,no,telefono,aug,fri,4,999,0,inexistente,1.4,93.444,-36.1,4.964,5228.1,no
171,29,Tecnico,soltero,universitario,no,no,no,telefono,aug,fri,1,999,0,inexistente,1.4,93.444,-36.1,4.963,5228.1,no
172,29,estudiante,soltero,secundario,no,no,no,celular,apr,thu,1,999,0,inexistente,-1.8,93.075,-47.1,1.406,5099.1,no
173,30,Servicios,casado,curso profesional,no,si,no,celular,nov,wed,3,999,1,fallida,-0.1,93.2,-42,4.12,5195.8,no
174,50,Obrero,casado,desconocido,no,si,no,celular,aug,tue,1,999,0,inexistente,-2.9,92.201,-31.4,0.883,5076.2,no
175,38,estudiante,soltero,universitario,no,no,no,telefono,jun,mon,4,999,0,inexistente,1.4,94.465,-41.8,4.865,5228.1,no
176,31,Administrativo,soltero,universitario,no,si,si,telefono,aug,tue,2,999,0,inexistente,-2.9,92.201,-31.4,0.883,5076.2,no
177,25,Servicios,casado,secundario,desconocido,no,no,celular,jul,wed,1,999,0,inexistente,1.4,93.918,-42.7,4.957,5228.1,no
178,38,Administrativo,casado,basica.9y,no,si,no,celular,may,tue,1,999,1,fallida,-1.8,92.893,-46.2,1.291,5099.1,no
179,40,Obrero,casado,basica.6y,desconocido,si,no,telefono,may,tue,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
180,33,Administrativo,soltero,universitario,no,no,no,celular,aug,mon,10,999,0,inexistente,1.4,93.444,-36.1,4.963,5228.1,no
181,48,Administrativo,divorciado,universitario,desconocido,no,no,celular,aug,tue,5,999,0,inexistente,1.4,93.444,-36.1,4.965,5228.1,no
182,31,Tecnico,soltero,universitario,no,si,no,celular,nov,thu,5,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
183,50,Obrero,casado,basica.9y,desconocido,si,no,celular,apr,thu,2,999,1,fallida,-1.8,93.075,-47.1,1.41,5099.1,no
184,39,Administrativo,casado,universitario,no,no,no,celular,nov,thu,1,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
185,54,Jubilado,casado,basica.9y,no,no,si,telefono,may,mon,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
186,36,Tecnico,casado,curso profesional,no,si,no,celular,may,wed,1,10,1,exitosa,-1.8,92.893,-46.2,1.334,5099.1,si
187,29,Servicios,casado,secundario,no,no,si,celular,may,wed,2,999,1,fallida,-1.8,92.893,-46.2,1.281,5099.1,si
188,59,Obrero,casado,basica.4y,no,no,no,celular,mar,tue,3,999,0,inexistente,-1.8,92.843,-50,1.51,5099.1,si
189,36,Servicios,divorciado,universitario,no,no,no,telefono,may,fri,1,999,0,inexistente,1.1,93.994,-36.4,4.855,5191,no
190,35,Obrero,casado,basica.9y,no,no,no,telefono,jun,tue,1,999,0,inexistente,1.4,94.465,-41.8,4.864,5228.1,no
191,45,Administrativo,casado,secundario,no,no,no,telefono,jun,fri,5,999,0,inexistente,1.4,94.465,-41.8,4.967,5228.1,no
192,42,Tecnico,casado,basica.9y,desconocido,si,no,celular,jul,wed,3,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
193,37,Tecnico,soltero,universitario,no,no,no,celular,aug,fri,2,999,0,inexistente,1.4,93.444,-36.1,4.964,5228.1,no
194,37,Tecnico,soltero,universitario,no,si,si,telefono,may,tue,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
195,38,Administrativo,casado,curso profesional,no,no,no,celular,jul,mon,3,999,0,inexistente,1.4,93.918,-42.7,4.96,5228.1,no
196,56,Gerente,casado,universitario,no,no,no,celular,jul,thu,1,999,0,inexistente,1.4,93.918,-42.7,4.968,5228.1,no
197,45,Administrativo,casado,universitario,no,no,no,celular,aug,tue,3,999,0,inexistente,1.4,93.444,-36.1,4.966,5228.1,no
198,34,Servicios,soltero,secundario,no,no,si,telefono,may,thu,6,999,0,inexistente,-1.8,92.893,-46.2,1.266,5099.1,no
199,46,Servicios,soltero,basica.4y,no,no,no,celular,apr,thu,3,6,1,exitosa,-1.8,93.749,-34.6,0.644,5008.7,no
